路径ID,路径名称,分数下限,分数上限,事件ID,动作类型,路径点索引,对话内容,动画名称,循环动画,显示时间,延迟时间,停留时间,手势类型,分数影响,覆盖前一动作,是否活跃,事件起始点,事件结束点
# NPC_ID,2
# NPC_NAME,goose
# CURRENT_SCORE,0
# PATH,g1,GoosePath1
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,1,伟大的守护者！您是一切的造物主，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,2,是黑暗中的光，是我们唯一的希望！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,3,是的，我赞同，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,4,只有那位大人才可以拯救公主和我们的王国，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,5,这一点我很肯定。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,6,希望你所言非虚。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,7,公主殿下，月光再次洒落在城堡，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,8,无法抚摸您的羽毛是它的遗憾；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,9,我不敢想象，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,10,守护者——如果有的话，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,11,曾如何精心雕琢您的容颜。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,12,您居住在影子王国的正中心，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,13,世间万物都围绕您旋转；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,14,一切珍宝都供奉给您，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,15,只为了您的半晌笑颜。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,16,您的伟大我们有目共睹，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,17,是您的羽翼支撑起了这片天空，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,18,当您坠落，我们的王国也面临倒塌；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,19,"是您的歌喉吸引着群星和花丛,",,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,20,当您沉睡，它们也接连离去；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,21,时间已经不多了！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,22,当钟声第七次敲响，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,23,当恶龙第七次袭来；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,24,当公主第七次坠落，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,25,当王国第七次崩塌——,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,26,一切都将结束，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,27,末日即将到来；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,28,一切都将无可挽回，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,29,深渊即将吞噬世界。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,30,自然是咏叹影之王国的命运，狼守卫。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,31,——！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,32,……,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,33,让人们意识到末日将至，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,34,这才是至关紧要的。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,35,凭我一人又能做到什么呢？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,36,难道我可以一手遮天法力无边？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,37,我又不是王国的守护者！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,38,您犯了您最不该犯的错误，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,39,那就是诋毁一位诗人的名誉！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,40,我想我自然不用与您多说，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,41,因为多说无益，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,42,而您的存在只会陷公主于更危险的境地！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,43,为何人们意识不到夜晚已然永久驻扎，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,44,为何人们总是蒙着双眼走路？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,45,世人总是如此胆小蒙昧！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,46,故事的走向是既定的，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,47,然而逆流而上是一种胆魄，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,48,就像品德高尚是我们的追求；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,49,只有敢将所思所想一并说出，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,50,才能长久地留存于此影之国度；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,51,否则是对心的亵渎和背叛！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,52,你是什么意思，鹿祭司？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,53,我倾听您的箴言许久，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,54,却没有明白您话语中的深意。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,55,这一点我不敢苟同。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,56,我们生存于这个王国，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,57,自然也是守护者的意志。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,58,您言之凿凿，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,59,却早已将理智抛之脑后。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,60,我认为明智之士必当三思而后行，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,61,这一点您想必也心有赞同。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,62,您是在“行动”，然后呢？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,63,您的行为根本是自我取悦！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,64,你看似为伟大的守护者服务，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,65,实则行事毫无逻辑，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,66,和那些你暗自鄙弃的愚民毫无区别！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,67,必须唤醒每个人心中对光的向往——,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,68,不知为何王国里唯我一人做此感想，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,69,说出话来无人理会；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,70,遭人冷眼并不会令我气馁，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,71,我相信他们本心臻美，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,72,只不过暂时被阴影蒙蔽了双眼。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,73,我会尽我所能吟咏诗篇，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,74,唤起他们心中最本真的善，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,75,对于这一点我坚信不疑。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,76,伟大的守护者！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,77,您曾许诺我们一片净土；,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,78,到头来为何变成这副模样？,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,79,在墓地埋葬着一切美好的品质，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,80,它的建立名为了纪念，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,81,实则我们对此忌讳莫深。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,82,不知为何我总会踏上这片土地，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,83,即使对它我心怀恐惧与敬畏。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,84,经年累月坠落的星辰,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,85,与它们血肉模糊的躯体，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,86,全都被埋藏在这里。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,87,它们在地下涌动，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,88,时刻找寻机会破土而出,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,89,再次降临在影之王国。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,90,不要向我伸手！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,91,我不会成为你们中的一员！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,92,远离我！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,93,我是诗人，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,94,我为一切美丽的事物歌唱——,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,95,公主与朝露，,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,96,花朵与月光。,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,97,你们这些肮脏的可怖的阴影！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,98,我不会被你们吞噬！,,False,2,0,0,,,True,True,,
g1,GoosePath1,0,100,PATH_ACTION,PATH_ACTION,99,死后我会化作星辰闪烁，,,False,2,0,0,,,True,True,,
